"phylum","class","order","family","genus","species"
"Arthropoda","Insecta","Coleoptera","Histeridae","Abraeus","Abraeus parvulus"
"Arthropoda","Insecta","Coleoptera","Histeridae","Abraeus","Abraeus perpusillus"
"Chordata","Actinopteri","Cypriniformes","Leuciscidae","Blicca","Blicca bjoerkna"
"Chordata","Actinopteri","Cypriniformes","Leuciscidae","Abramis","Abramis brama"
"Arthropoda","Insecta","Lepidoptera","Geometridae","Abraxas","Abraxas sylvata"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Abrostola","Abrostola tripartita"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Abrostola","Abrostola triplasia"
"Arthropoda","Insecta","Coleoptera","Cantharidae","Podistra","Podistra rufotestacea"
"Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Absyrtus","Absyrtus vicinator"
"Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Acalitus","Acalitus rudis"
"Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles commutatus"
"Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles dubius"
"Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles fallax"
"Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles lemur"
"Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles misellus"
"Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles parvulus"
"Arthropoda","Insecta","Coleoptera","Curculionidae","Acalles","Acalles ptinoides"
"Arthropoda","Insecta","Coleoptera","Curculionidae","Kyklioacalles","Kyklioacalles roboris"
"Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta carinata"
"Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta gracilis"
"Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta marginata"
"Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta musci"
"Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta nigrina"
"Arthropoda","Insecta","Hemiptera","Tingidae","Acalypta","Acalypta parvula"
"Arthropoda","Insecta","Coleoptera","Curculionidae","Acalyptus","Acalyptus carpini"
"Arthropoda","Insecta","Hymenoptera","Braconidae","Acampsis","Acampsis alternipes"
"Arthropoda","Insecta","Diptera","Chironomidae","Acamptocladius","Acamptocladius submontanus"
"Mollusca","Gastropoda","Stylommatophora","Valloniidae","Acanthinula","Acanthinula aculeata"
"Arthropoda","Insecta","Diptera","Tephritidae","Acanthiophilus","Acanthiophilus helianthi"
"Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis cabaret"
"Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis flammea"
"Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis hornemanni"
"Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia","Acanthocardia aculeata"
"Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia","Acanthocardia echinata"
"Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia","Acanthocardia paucicostata"
"Mollusca","Bivalvia","Cardiida","Cardiidae","Acanthocardia","Acanthocardia tuberculata"
"Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","Acanthocephalus","Acanthocephalus anguillae"
"Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","Acanthocephalus","Acanthocephalus clavula"
"Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","Acanthocephalus","Acanthocephalus lucii"
"Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae","Acanthocephalus","Acanthocephalus ranae"
"Nematoda","Chromadorea","Rhabditida","Onchocercidae","Acanthocheilonema","Acanthocheilonema dracunculoides"
"Nematoda","Chromadorea","Rhabditida","Onchocercidae","Acanthocheilonema","Acanthocheilonema spirocauda"
"Nematoda","Chromadorea","Rhabditida","Acanthocheilidae","Acanthocheilus","Acanthocheilus rotundatus"
"Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Acanthochitona","Acanthochitona crinita"
"Arthropoda","Insecta","Coleoptera","Cerambycidae","Acanthocinus","Acanthocinus aedilis"
"Arthropoda","Insecta","Coleoptera","Cerambycidae","Acanthocinus","Acanthocinus griseus"
"Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Acanthocyclops","Acanthocyclops robustus"
"Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Acanthocyclops","Acanthocyclops vernalis"
"Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Acanthocyclops","Acanthocyclops viridis"
"Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","Acanthodoris pilosa"
"Arthropoda","Branchiopoda","Diplostraca","Macrotrichidae","Acantholeberis","Acantholeberis curvirostris"
"Arthropoda","Insecta","Hymenoptera","Pamphiliidae","Acantholyda","Acantholyda erythrocephala"
"Arthropoda","Insecta","Hymenoptera","Pamphiliidae","Acantholyda","Acantholyda flaviceps"
"Arthropoda","Insecta","Hymenoptera","Pamphiliidae","Acantholyda","Acantholyda hieroglyphica"
"Arthropoda","Insecta","Hymenoptera","Pamphiliidae","Acantholyda","Acantholyda posticalis"
"Arthropoda","Insecta","Lepidoptera","Psychidae","Acanthopsyche","Acanthopsyche atra"
"Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acanthoscelides","Acanthoscelides obtectus"
"Arthropoda","Insecta","Hemiptera","Acanthosomatidae","Acanthosoma","Acanthosoma haemorrhoidale"
"Arthropoda","Arachnida","Trombidiformes","Tarsonemidae","Acarapis","Acarapis woodi"
"Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia","Acartia bifilosa"
"Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia","Acartia discaudata"
"Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia","Acartia hudsonica"
"Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia","Acartia longiremis"
"Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia","Acartia tonsa"
"Arthropoda","Insecta","Diptera","Acartophthalmidae","Acartophthalmus","Acartophthalmus bicolor"
"Arthropoda","Insecta","Diptera","Acartophthalmidae","Acartophthalmus","Acartophthalmus nigrinus"
"Arthropoda","Arachnida","Mesostigmata","Dermanyssidae","Dermanyssus","Dermanyssus gallinae"
"Arthropoda","Arachnida","Mesostigmata","Dermanyssidae","Dermanyssus","Dermanyssus hirundinis"
"Arthropoda","Arachnida","Sarcoptiformes","Acaridae","Acarus","Acarus siro"
"Arthropoda","Insecta","Lepidoptera","Geometridae","Acasis","Acasis viretata"
"Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis"
"Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus"
"Arthropoda","Insecta","Diptera","Tachinidae","Acemya","Acemya acuticornis"
"Arthropoda","Insecta","Lepidoptera","Crambidae","Acentria","Acentria ephemerella"
"Arthropoda","Protura",NA,"Acerentomidae","Acerella","Acerella muscorum"
"Arthropoda","Protura",NA,"Acerentomidae","Acerentulus","Acerentulus traegardhi"
"Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria angustifoliae"
"Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria drabae"
"Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria erinea"
"Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria genistae"
"Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria squalida"
"Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria tuberculata"
"Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria tulipae"
"Arthropoda","Insecta","Diptera","Scathophagidae","Acerocnema","Acerocnema macrocera"
"Arthropoda","Insecta","Hemiptera","Miridae","Acetropis","Acetropis carinata"
"Arthropoda","Arachnida","Araneae","Theridiidae","Parasteatoda","Parasteatoda tepidariorum"
"Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Achaius","Achaius oratorius"
"Arthropoda","Insecta","Hymenoptera","Encyrtidae","Achalcerinys","Achalcerinys lindus"
"Arthropoda","Insecta","Diptera","Dolichopodidae","Achalcus","Achalcus cinereus"
"Arthropoda","Insecta","Diptera","Dolichopodidae","Achalcus","Achalcus flavicollis"
"Arthropoda","Insecta","Diptera","Dolichopodidae","Achalcus","Achalcus vaillanti"
"Arthropoda","Insecta","Diptera","Muscidae","Achanthiptera","Achanthiptera rohrelliformis"
"Arthropoda","Pycnogonida","Pantopoda","Ammotheidae","Achelia","Achelia echinata"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Achenium","Achenium depressum"
"Arthropoda","Insecta","Lepidoptera","Sphingidae","Acherontia","Acherontia atropos"
"Arthropoda","Insecta","Orthoptera","Gryllidae","Acheta","Acheta domesticus"
"Arthropoda","Arachnida","Sarcoptiformes","Achipteriidae","Achipteria","Achipteria coleoptrata"
"Arthropoda","Insecta","Lepidoptera","Drepanidae","Achlya","Achlya flavicornis"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Achroia","Achroia grisella"
"Nematoda","Chromadorea","Chromadorida","Cyatholaimidae","Achromadora","Achromadora ruricola"
"Arthropoda","Insecta","Hymenoptera","Eulophidae","Achrysocharoides","Achrysocharoides acerianus"
"Arthropoda","Insecta","Hymenoptera","Eulophidae","Achrysocharoides","Achrysocharoides atys"
"Arthropoda","Insecta","Hymenoptera","Eulophidae","Achrysocharoides","Achrysocharoides buekkensis"
"Arthropoda","Insecta","Hymenoptera","Eulophidae","Achrysocharoides","Achrysocharoides butus"
"Arthropoda","Insecta","Hymenoptera","Eulophidae","Achrysocharoides","Achrysocharoides cilla"
"Arthropoda","Insecta","Hymenoptera","Eulophidae","Achrysocharoides","Achrysocharoides latreillii"
"Arthropoda","Insecta","Hymenoptera","Eulophidae","Achrysocharoides","Achrysocharoides niveipes"
"Arthropoda","Insecta","Hymenoptera","Eulophidae","Achrysocharoides","Achrysocharoides splendens"
"Arthropoda","Insecta","Hymenoptera","Eulophidae","Achrysocharoides","Achrysocharoides suprafolius"
"Arthropoda","Insecta","Hymenoptera","Eulophidae","Achrysocharoides","Achrysocharoides zwoelferi"
"Arthropoda","Insecta","Diptera","Tephritidae","Acidia","Acidia cognata"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acidota","Acidota crenata"
"Arthropoda","Insecta","Coleoptera","Dytiscidae","Acilius","Acilius canaliculatus"
"Arthropoda","Insecta","Coleoptera","Dytiscidae","Acilius","Acilius sulcatus"
"Chordata","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","Acipenser baerii"
"Chordata","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","Acipenser gueldenstaedtii"
"Chordata","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","Acipenser ruthenus"
"Chordata","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","Acipenser stellatus"
"Chordata","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","Acipenser sturio"
"Arthropoda","Insecta","Hemiptera","Psyllidae","Acizzia","Acizzia uncatoides"
"Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Aclastus","Aclastus gracilis"
"Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Aclastus","Aclastus solutus"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris abietana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris aspersana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris bergmanniana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris comariana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris cristana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris emargana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris ferrugana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris forsskaleana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris hastiana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris holmiana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris hyemana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris kochiella"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris laterana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris lipsiana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris literana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris logiana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris lorquiniana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris notana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris permutana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris quercinana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris rhombana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris rufana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris scabrana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris schalleriana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris shepherdana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris sparsana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris umbrana"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris variegana"
"Arthropoda","Insecta","Diptera","Drosophilidae","Acletoxenus","Acletoxenus formosus"
"Arthropoda","Insecta","Hymenoptera","Braconidae","Aclitus","Aclitus obscuripennis"
"Arthropoda","Insecta","Coleoptera","Silphidae","Aclypea","Aclypea opaca"
"Arthropoda","Insecta","Coleoptera","Cerambycidae","Acmaeops","Acmaeops marginatus"
"Arthropoda","Insecta","Diptera","Mycetophilidae","Acnemia","Acnemia nitidicollis"
"Arthropoda","Insecta","Diptera","Cecidomyiidae","Acoenonia","Acoenonia europaea"
"Arthropoda","Insecta","Hemiptera","Anthocoridae","Acompocoris","Acompocoris alpinus"
"Arthropoda","Insecta","Lepidoptera","Gelechiidae","Acompsia","Acompsia cinerella"
"Arthropoda","Insecta","Lepidoptera","Gelechiidae","Acompsia","Acompsia schmidtiellus"
"Arthropoda","Insecta","Hemiptera","Rhyparochromidae","Acompus","Acompus rufipes"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acontia","Acontia lucida"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Emmelia","Emmelia trabealis"
"Arthropoda","Insecta","Diptera","Chironomidae","Acricotopus","Acricotopus lucens"
"Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Acridotheres ginginianus"
"Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Acridotheres tristis"
"Arthropoda","Insecta","Coleoptera","Histeridae","Acritus","Acritus homoeopathicus"
"Arthropoda","Insecta","Coleoptera","Histeridae","Acritus","Acritus nigricornis"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Acrobasis","Acrobasis advenella"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Acrobasis","Acrobasis consociella"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Acrobasis","Acrobasis marmorea"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Acrobasis","Acrobasis repandana"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Acrobasis","Acrobasis sodalella"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Acrobasis","Acrobasis suavella"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Acrobasis","Acrobasis tumidana"
"Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeles","Acrobeles ciliatus"
"Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeles","Acrobeles complexus"
"Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeles","Acrobeles mariannae"
"Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeloides","Acrobeloides buetschlii"
"Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeloides","Acrobeloides nanus"
"Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeloides","Acrobeloides tricornis"
"Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus agricola"
"Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus arundinaceus"
"Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus dumetorum"
"Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus melanopogon"
"Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus paludicola"
"Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus palustris"
"Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus schoenobaenus"
"Chordata","Aves","Passeriformes","Sylviidae","Acrocephalus","Acrocephalus scirpaceus"
"Arthropoda","Insecta","Diptera","Acroceridae","Acrocera","Acrocera sanguinea"
"Arthropoda","Insecta","Lepidoptera","Gracillariidae","Acrocercops","Acrocercops brongniardella"
"Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Acrocnida","Acrocnida brachiata"
"Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Acrodactyla","Acrodactyla carinator"
"Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Acrodactyla","Acrodactyla degener"
"Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Acrodactyla","Acrodactyla quadrisculpta"
"Arthropoda","Arachnida","Sarcoptiformes","Galumnidae","Acrogalumna","Acrogalumna longipluma"
"Arthropoda","Insecta","Lepidoptera","Plutellidae","Acrolepia","Acrolepia autumnitella"
"Arthropoda","Insecta","Lepidoptera","Plutellidae","Acrolepiopsis","Acrolepiopsis assectella"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrolocha","Acrolocha pliginskii"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrolocha","Acrolocha sulcula"
"Mollusca","Gastropoda",NA,"Acroloxidae","Acroloxus","Acroloxus lacustris"
"Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex","Acromyrmex coronatus"
"Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex","Acromyrmex lundi"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta aceris"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta alni"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta auricoma"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta cuspis"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta euphorbiae"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta leporina"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta megacephala"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta menyanthidis"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta psi"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta rumicis"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta strigosa"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta tridens"
"Arthropoda","Branchiopoda","Diplostraca","Chydoridae","Acroperus","Acroperus harpae"
"Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Acropimpla","Acropimpla pictipes"
"Arthropoda","Insecta","Diptera","Dolichopodidae","Acropsilus","Acropsilus niger"
"Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Acroricnus","Acroricnus stylator"
"Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Acrotomus","Acrotomus succinctus"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","Acrotona amplicollis"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","Acrotona aterrima"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","Acrotona fungi"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","Acrotona muscorum"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","Acrotona obfuscata"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","Acrotona orbata"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","Acrotona parens"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","Acrotona parvula"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","Acrotona pseudotenera"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","Acrotona pygmaea"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrotona","Acrotona sylvicola"
"Arthropoda","Insecta","Coleoptera","Ptiliidae","Acrotrichis","Acrotrichis atomaria"
"Arthropoda","Insecta","Coleoptera","Ptiliidae","Acrotrichis","Acrotrichis cephalotes"
"Arthropoda","Insecta","Coleoptera","Ptiliidae","Acrotrichis","Acrotrichis cognata"
"Arthropoda","Insecta","Coleoptera","Ptiliidae","Acrotrichis","Acrotrichis fascicularis"
"Arthropoda","Insecta","Coleoptera","Ptiliidae","Acrotrichis","Acrotrichis grandicollis"
"Arthropoda","Insecta","Coleoptera","Ptiliidae","Acrotrichis","Acrotrichis insularis"
"Arthropoda","Insecta","Coleoptera","Ptiliidae","Acrotrichis","Acrotrichis intermedia"
"Arthropoda","Insecta","Coleoptera","Ptiliidae","Acrotrichis","Acrotrichis montandonii"
"Arthropoda","Insecta","Coleoptera","Ptiliidae","Acrotrichis","Acrotrichis sericans"
"Arthropoda","Insecta","Coleoptera","Ptiliidae","Acrotrichis","Acrotrichis sitkaensis"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acrulia","Acrulia inflata"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Actebia","Actebia praecox"
"Arthropoda","Insecta","Coleoptera","Elateridae","Actenicerus","Actenicerus siaelandicus"
"Mollusca","Gastropoda",NA,"Acteonidae","Acteon","Acteon tornatilis"
"Arthropoda","Insecta","Diptera","Tachinidae","Actia","Actia crassicornis"
"Arthropoda","Insecta","Diptera","Tachinidae","Actia","Actia infantula"
"Arthropoda","Insecta","Diptera","Tachinidae","Actia","Actia lamia"
"Arthropoda","Insecta","Diptera","Tachinidae","Actia","Actia pilipennis"
"Arthropoda","Insecta","Diptera","Acroceridae","Actina","Actina chalybea"
"Cnidaria","Anthozoa","Actiniaria","Actiniidae","Actinia","Actinia equina"
"Cnidaria","Anthozoa","Actiniaria","Actiniidae","Actinia","Actinia fragacea"
"Cnidaria","Anthozoa","Actiniaria","Sagartiidae","Actinothoe","Actinothoe sphyrodeta"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Actinotia","Actinotia polyodon"
"Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos"
"Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis macularia"
"Arthropoda","Insecta","Phthiraptera","Menoponidae","Actornithophilus","Actornithophilus piceus"
"Nematoda","Chromadorea","Rhabditida","Acuariidae","Cheilospirura","Cheilospirura hamulosa"
"Arthropoda","Arachnida","Araneae","Araneidae","Aculepeira","Aculepeira ceropegia"
"Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aculops","Aculops lycopersici"
"Arthropoda","Insecta","Coleoptera","Carabidae","Acupalpus","Acupalpus brunnipes"
"Arthropoda","Insecta","Coleoptera","Carabidae","Acupalpus","Acupalpus dubius"
"Arthropoda","Insecta","Coleoptera","Carabidae","Acupalpus","Acupalpus elegans"
"Arthropoda","Insecta","Coleoptera","Carabidae","Acupalpus","Acupalpus exiguus"
"Arthropoda","Insecta","Coleoptera","Carabidae","Acupalpus","Acupalpus flavicollis"
"Arthropoda","Insecta","Coleoptera","Carabidae","Acupalpus","Acupalpus meridianus"
"Arthropoda","Insecta","Coleoptera","Carabidae","Acupalpus","Acupalpus parvulus"
"Arthropoda","Insecta","Hemiptera","Diaspididae","Acutaspis","Acutaspis agavis"
"Arthropoda","Insecta","Hemiptera","Diaspididae","Acutaspis","Acutaspis albopicta"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Acylophorus","Acylophorus wagenschieberi"
"Arthropoda","Insecta","Hemiptera","Aphididae","Acyrthosiphon","Acyrthosiphon caraganae"
"Arthropoda","Insecta","Hemiptera","Aphididae","Acyrthosiphon","Acyrthosiphon chelidonii"
"Arthropoda","Insecta","Hemiptera","Aphididae","Acyrthosiphon","Acyrthosiphon loti"
"Arthropoda","Insecta","Hemiptera","Aphididae","Acyrthosiphon","Acyrthosiphon malvae"
"Arthropoda","Insecta","Hemiptera","Aphididae","Acyrthosiphon","Acyrthosiphon pisum"
"Arthropoda","Insecta","Lepidoptera","Pterophoridae","Adaina","Adaina microdactyla"
"Arthropoda","Insecta","Coleoptera","Coccinellidae","Adalia","Adalia bipunctata"
"Arthropoda","Insecta","Coleoptera","Coccinellidae","Adalia","Adalia conglomerata"
"Arthropoda","Insecta","Coleoptera","Coccinellidae","Adalia","Adalia decempunctata"
"Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Adamsia","Adamsia palliata"
