"species_id","species_name","identification_reference"
4882,Calathus rotundicollis,"Dejean, 1828"
4883,Calcarius lapponicus,"Linnaeus, 1758"
4884,Caleremaeus monilipes,"Michael, 1882"
4885,Caliadurgus fasciatellus,"Spinola, 1808"
4886,Calicophoron daubneyi,"Dinnik, 1962"
4887,Calidris acuminata,"Horsfield, 1821"
4888,Calidris alba,"Pallas, 1764"
4889,Calidris alpina,"Linnaeus, 1758"
4890,Calidris bairdii,"Coues, 1861"
4891,Calidris canutus,"Linnaeus, 1758"
4892,Calidris falcinellus,"Pontoppidan, 1763"
4893,Calidris ferruginea,"Pontoppidan, 1763"
4894,Calidris fuscicollis,"Vieillot, 1819"
4895,Calidris himantopus,"Bonaparte, 1826"
4896,Calidris maritima,"Brünnich, 1764"
4897,Calidris mauri,"Cabanis, 1857"
4898,Calidris melanotos,"Vieillot, 1819"
4899,Calidris minuta,"Leisler, 1812"
4900,Calidris pugnax,"Linnaeus, 1758"
4901,Calidris pusilla,"Linnaeus, 1758"
4902,Calidris ruficollis,"Pallas, 1776"
4903,Calidris subminuta,"Middendorff, 1853"
4904,Calidris subruficollis,"Vieillot, 1819"
4905,Calidris temminckii,"Leisler, 1812"
4906,Calidris tenuirostris,"Horsfield, 1821"
4907,Caligus belones,"Krøyer, 1864"
4908,Caligus brevicaudatus,"Scott, 1901"
4909,Caligus coryphaenae,"Steenstrup & Lütken, 1861"
4910,Caligus curtus,"Müller, 1785"
4911,Caligus diaphanus,"von Nordmann, 1832"
4912,Caligus elongatus,"Von Nordmann, 1832"
4913,Caligus gurnardi,"Krøyer, 1863"
4914,Caligus lacustris,"Steenstrup & Lütken, 1861"
4915,Caligus pelamydis,"Krøyer, 1863"
4916,Caligus platessae,"Van Beneden, 1871"
4917,Caligus truttae,"Giard, 1890"
4918,Caliprobola speciosa,"Rossi, 1790"
4919,Caliroa annulipes,"Klug, 1816"
4920,Caliroa cerasi,"Linnaeus, 1758"
4921,Caliroa cinxia,"Klug, 1816"
4922,Caliroa cothurnata,"Serville, 1823"
4923,Caliroa varipes,"Klug, 1816"
4924,Callajoppa cirrogaster,"Schrank, 1781"
4925,Callajoppa exaltatoria,"Panzer, 1804"
4926,Callaspidia defonscolombei,"Dahlbom, 1842"
4927,Callaspidia rubricrus,"Dettmer, 1924"
4928,Callianassa subterranea,"Montagu, 1808"
4929,Callicera aenea,"Fabricius, 1781"
4930,Callicera aurata,"Rossi, 1790"
4931,Callicera fagesii,"Guérin-Méneville, 1844"
4932,Callicera rufa,"Schummel, 1842"
4933,Callicerus obscurus,"Gravenhorst, 1802"
4934,Callicerus rigidicornis,"Erichson, 1839"
4935,Callicorixa praeusta,"Fieber, 1848"
4936,Callicorixa producta,"Reuter, 1880"
4937,Callidiellum rufipenne,"Motschulsky, 1861"
4938,Callidium aeneum,"De Geer, 1775"
4939,Callidium violaceum,"Linnaeus, 1758"
4940,Calliergis ramosa,"Esper, 1786"
4941,Calligrapha polyspila,"Germar, 1821"
4942,Calligypona reyi,"Fieber, 1866"
4943,Callilepis nocturna,"Linnaeus, 1758"
4944,Callimorpha dominula,"Linnaeus, 1758"
4945,Callinectes sapidus,"Rathbun, 1896"
4946,Callionymus lyra,"Linnaeus, 1758"
4947,Callionymus maculatus,"Rafinesque-Schmaltz, 1810"
4948,Callionymus reticulatus,"Valenciennes, 1837"
4949,Calliope calliope,"Pallas, 1776"
4950,Calliopius laeviusculus,"Krøyer, 1838"
4951,Calliopum aeneum,"Fallén, 1820"
4952,Calliopum elisae,"Meigen, 1826"
4953,Calliopum geniculatum,"Fabricius, 1805"
4954,Calliopum simillimum,"Collin, 1933"
4955,Calliostoma zizyphinum,"Linnaeus, 1758"
4956,Callipallene brevirostris,"Johnston, 1837"
4957,Calliphora loewi,"Enderlein, 1903"
4958,Calliphora vicina,"Robineau-Desvoidy, 1830"
4959,Calliphora vomitoria,"Linnaeus, 1758"
4960,Calliptamus italicus,"Linnaeus, 1758"
4961,Callipterinella minutissima,"Stroyan, 1953"
4962,Callipterinella tuberculata,"Von Heyden, 1837"
4963,Callirhytis bella,"Dettmer, 1930"
4964,Callirhytis erythrocephala,"Giraud, 1859"
4965,Callisthenes reticulatus,"Fabricius, 1787"
4966,Callisto denticulella,"Thunberg, 1794"
4967,Callistus lunatus,"Fabricius, 1775"
4968,Calliteara pudibunda,"Linnaeus, 1758"
4969,Callitula bicolor,"Spinola, 1811"
4970,Callitula elongata,"Thomson, 1878"
4971,Callitula ferrierei,"Boucek, 1964"
4972,Callitula pyrrhogaster,"Walker, 1833"
4973,Callobius claustrarius,"Hahn, 1833"
4974,Callomyia amoena,"Meigen, 1824"
4975,Callomyia dives,"Zetterstedt, 1838"
4976,Callomyia elegans,"Meigen, 1804"
4977,Callomyia speciosa,"Meigen, 1824"
4978,Callonetta leucophrys,"Vieillot, 1816"
4979,Callophrys rubi,"Linnaeus, 1758"
4980,Callopistria juventina,"Stoll, 1782"
4981,Callopistromyia annulipes,"Macquart, 1855"
4982,Callopora dumerilii,"Adouin, 1826"
4983,Callosciurus erythraeus,"Pallas, 1779"
4984,Callosobruchus chinensis,"Linnaeus, 1758"
4985,Callosobruchus maculatus,"Fabricius, 1775"
4986,Callyntrotus granulata,"Frauenfeld, 1865"
4987,Calobata petronella,"Linnaeus, 1761"
4988,Calocoris affinis,"Herrich-Schaeffer, 1835"
4989,Calocoris roseomaculatus,"De Geer, 1773"
4990,Calodera aethiops,"Gravenhorst, 1802"
4991,Calodera nigrita,"Mannerheim, 1830"
4992,Calodera protensa,"Mannerheim, 1830"
4993,Calodera riparia,"Erichson, 1837"
4994,Calodera rufescens,"Kraatz, 1856"
4995,Calodera uliginosa,"Erichson, 1837"
4996,Calodium hepaticum,"Bancroft, 1893"
4997,Calodromius bifasciatus,"Dejean, 1825"
4998,Calodromius spilotus,"Illiger, 1798"
4999,Calomicrus circumfusus,"Marsham, 1802"
5000,Calomicrus pinicola,"Duftschmid, 1825"
5001,Calonectris borealis,"Cory, 1881"
5002,Calophasia lunula,"Hufnagel, 1766"
5003,Calopteryx splendens,"Harris, 1782"
5004,Calopteryx virgo,"Linnaeus, 1758"
5005,Caloptilia alchimiella,"Scopoli, 1763"
5006,Caloptilia azaleella,"Brants, 1913"
5007,Caloptilia betulicola,"Hering, 1928"
5008,Caloptilia cuculipennella,"Hübner, 1796"
5009,Caloptilia elongella,"Linnaeus, 1761"
5010,Caloptilia falconipennella,"Hübner, 1813"
5011,Caloptilia fidella,"Reutti, 1853"
5012,Caloptilia hemidactylella,"Denis & Schiffermüller, 1775"
5013,Caloptilia honoratella,"Rebel, 1914"
5014,Caloptilia populetorum,"Zeller, 1839"
5015,Caloptilia robustella,"Jäckh, 1972"
5016,Caloptilia roscipennella,"Hübner, 1796"
5017,Caloptilia rufipennella,"Hübner, 1796"
5018,Caloptilia stigmatella,"Fabricius, 1781"
5019,Caloptilia suberinella,"Tengström, 1848"
5020,Calosirus apicalis,"Gyllenhal, 1827"
5021,Calosirus terminatus,"Herbst, 1795"
5022,Calosoma auropunctatum,"Herbst, 1784"
5023,Calosoma inquisitor,"Linnaeus, 1758"
5024,Calosoma maderae,"Fabricius, 1775"
5025,Calosoma sycophanta,"Linnaeus, 1758"
5026,Calosota acron,"Walker, 1848"
5027,Calosota aestivalis,"Curtis, 1836"
5028,Calosota vernalis,"Curtis, 1836"
5029,Calvia decemguttata,"Linnaeus, 1767"
5030,Calvia quatuordecimguttata,"Linnaeus, 1758"
5031,Calvolia hagensis,"Oudemans, 1911"
5032,Calybites phasianipennella,"Hübner, 1813"
5033,Calycella syringa,"Linnaeus, 1767"
5034,Calycomyza artemisiae,"Kaltenbach, 1856"
5035,Calycomyza humeralis,"von Roser, 1840"
5036,Calycomyza mikaniae,"Spencer, 1973"
5037,Calycomyza solidaginis,"Kaltenbach, 1869"
5038,Calyptomerus dubius,"Marsham, 1802"
5039,Calyptraea chinensis,"Linnaeus, 1758"
5040,Calythea nigricans,"Robineau-Desvoidy, 1830"
5041,Calythea pratincola,"Panzer, 1809"
5042,Camallanus lacustris,"Zoega, 1776"
5043,Camarota curvipennis,"Latreille, 1805"
5044,Camarotoscena speciosa,"Flor, 1861"
5045,Camelostrongylus lyratus,"Sjoberg, 1926"
5046,Cameraria ohridella,"Deschka & Dimic, 1986"
5047,Camilla atrimana,"Strobl, 1910"
5048,Camilla flavicauda,"Duda, 1922"
5049,Camilla fuscipes,"Collin, 1933"
5050,Camilla glabra,"Fallén, 1823"
5051,Camisia biurus,"Koch, 1839"
5052,Camisia biverrucata,"Koch, 1839"
5053,Camisia horrida,"Herrmann, 1804"
5054,Camisia invenusta,"Michael, 1888"
5055,Camisia segnis,"Hermann, 1804"
5056,Camisia spinifer,"Koch, 1836"
5057,Campaea honoraria,"Denis & Schiffermüller, 1775"
5058,Campaea margaritaria,"Linnaeus, 1761"
5059,Campanularia hincksii,"Alder, 1856"
5060,Campanularia volubilis,"Linnaeus, 1758"
5061,Campanulina pumila,"Clark, 1875"
5062,Campanulotes bidentatus,"Scopoli, 1763"
5063,Campichoeta obscuripennis,"Meigen, 1830"
5064,Campichoeta punctum,"Meigen, 1830"
5065,Campiglossa absinthii,"Fabricius, 1805"
5066,Campiglossa argyrocephala,"Loew, 1844"
5067,Campiglossa loewiana,"Hendel, 1927"
5068,Campiglossa malaris,"Séguy, 1934"
5069,Campiglossa misella,"Loew, 1869"
5070,Campiglossa plantaginis,"Haliday, 1833"
5071,Campiglossa producta,"Loew, 1844"
5072,Campocraspedon caudatus,"Thomson, 1890"
5073,Campodea fragilis,"Meinert, 1865"
5074,Campodea lankesteri,"Silvestri, 1912"
5075,Campodea lubbocki,"Silvestri, 1912"
5076,Campodea meinerti,"Bagnall, 1918"
5077,Campodea plusiochaeta,"Silvestri, 1912"
5078,Campodea remyi,"Denis, 1930"
5079,Campodea rhopalota,"Denis, 1930"
5080,Campodea staphylinus,"Westwood, 1842"
5081,Campodea wallacei,"Bagnall, 1918"
5082,Campodorus amictus,"Holmgren, 1857"
5083,Campodorus astutus,"Holmgren, 1876"
5084,Campodorus caligatus,"Gravenhorst, 1829"
5085,Campodorus clypealis,"Thomson, 1894"
5086,Campodorus deletus,"Thomson, 1893"
5087,Campodorus dorsalis,"Gravenhorst, 1829"
5088,Campodorus elegans,"Parfitt, 1882"
5089,Campodorus gallicus,"Thomson, 1893"
5090,Campodorus gracilipes,"Holmgren, 1857"
5091,Campodorus haematodes,"Gravenhorst, 1829"
5092,Campodorus hamulus,"Gravenhorst, 1829"
5093,Campodorus holmgreni,"Schmiedeknecht, 1924"
5094,Campodorus incidens,"Thomson, 1893"
5095,Campodorus maculicollis,"Stephens, 1835"
5096,Campodorus marginalis,"Geoffroy, 1785"
5097,Campodorus melanogaster,"Holmgren, 1857"
5098,Campodorus meridionalis,"Holmgren, 1856"
5099,Campodorus ornatus,"Habermehl, 1925"
5100,Campodorus patagiatus,"Holmgren, 1876"
5101,Campodorus scapularis,"Stephens, 1835"
5102,Campodorus variegatus,"Jurine, 1807"
5103,Campoletis annulata,"Gravenhorst, 1829"
5104,Campoletis cognata,"Tschek, 1871"
5105,Campoletis postica,"Bridgman & Fitch, 1885"
5106,Campoletis rapax,"Gravenhorst, 1829"
5107,Campoletis zonata,"Gravenhorst, 1829"
5108,Camponotus aegyptiacus,"Emery, 1915"
5109,Camponotus atriceps,"Smith, 1858"
5110,Camponotus bugnioni,"Forel, 1899"
5111,Camponotus canescens,"Mayr, 1870"
5112,Camponotus fallax,"Nylander, 1856"
5113,Camponotus fastigatus,"Roger, 1863"
5114,Camponotus herculeanus,"Linnaeus, 1758"
5115,Camponotus ligniperda,"Latreille, 1802"
5116,Camponotus maculatus,"Fabricius, 1782"
5117,Camponotus mitis,"Smith, 1858"
5118,Camponotus pennsylvanicus,"De Geer, 1773"
5119,Camponotus planatus,"Roger, 1863"
5120,Camponotus rectangularis,"Emery, 1890"
5121,Camponotus sylvaticus,"Olivier, 1792"
5122,Camponotus vagus,"Scopoli, 1763"
5123,Campoplex abbreviatus,"Brischke, 1880"
5124,Campoplex bilobus,"Thomson, 1887"
5125,Campoplex cursitans,"Holmgren, 1860"
5126,Campoplex difformis,"Gmelin, 1790"
5127,Campoplex fusciplica,"Thomson, 1887"
5128,Campoplex interruptus,"Horstmann, 1993"
5129,Campoplex molestus,"Gravenhorst, 1829"
5130,Campoplex multicinctus,"Gravenhorst, 1829"
5131,Campoplex ocellanae,"Horstmann, 1993"
5132,Campoplex punctipleuris,"Horstmann, 1980"
5133,Campoplex ramidulus,"Brischke, 1880"
5134,Campoplex rufipes,"Gravenhorst, 1829"
5135,Campoplex tumidulus,"Gravenhorst, 1829"
5136,Campsicnemus alpinus,"Haliday, 1833"
5137,Campsicnemus armatus,"Zetterstedt, 1849"
5138,Campsicnemus armoricanus,"Parent, 1926"
5139,Campsicnemus compeditus,"Loew, 1857"
5140,Campsicnemus curvipes,"Fallén, 1823"
5141,Campsicnemus loripes,"Haliday, 1832"
5142,Campsicnemus lumbatus,"Loew, 1857"
5143,Campsicnemus magius,"Loew, 1845"
5144,Campsicnemus marginatus,"Loew, 1857"
5145,Campsicnemus picticornis,"Zetterstedt, 1843"
5146,Campsicnemus pumilio,"Zetterstedt, 1843"
5147,Campsicnemus pusillus,"Meigen, 1824"
5148,Campsicnemus scambus,"Fallén, 1823"
5149,Camptocercus biserratus,"Schoedler, 1862"
5150,Camptocercus lilljeborgi,"Schoedler, 1862"
5151,Camptocercus rectirostris,"Schoedler, 1862"
5152,Camptocladius stercorarius,"De Geer, 1776"
5153,Camptogramma bilineata,"Linnaeus, 1758"
5154,Camptomyia abnormis,"Mamaev, 1961"
5155,Camptoptera aula,"Debauche, 1948"
5156,Camptoptera cardui,"Förster, 1856"
5157,Camptoptera magna,"Soyka, 1946"
5158,Camptoptera papaveris,"Förster, 1856"
5159,Camptoptera perpilosa,"Soyka, 1961"
5160,Camptoptera setipaupera,"Soyka, 1961"
5161,Camptozygum aequale,"Villers, 1789"
5162,Campula oblonga,"Cobbold, 1858"
5163,Campydora demonstrans,"Cobb, 1920"
5164,Campylaspis glabra,"Sars, 1878"
5165,Campylocheta inepta,"Meigen, 1824"
5166,Campylocheta praecox,"Meigen, 1824"
5167,Campylomma annulicorne,"Signoret, 1865"
5168,Campylomma verbasci,"Meyer-Dür, 1843"
5169,Campylomyza bicolor,"Meigen, 1818"
5170,Campylomyza flavipes,"Meigen, 1818"
5171,Campylomyza praecox,"Kieffer, 1894"
5172,Campylomyza serrata,"Jaschhof, 1996"
5173,Campyloneura virgula,"Herrich-Schaeffer, 1835"
5174,Campylosteira verna,"Fallén, 1826"
5175,Canace nasica,"Haliday, 1839"
5176,Cancer pagurus,"Linnaeus, 1758"
5177,Cancerilla tubulata,"Dalyell, 1851"
5178,Candacia armata,"Boeck, 1873"
5179,Candidula gigaxii,"Pfeiffer, 1850"
5180,Candidula intersecta,"Poiret, 1801"
5181,Candidula unifasciata,"Poiret, 1801"
5182,Candona angulata,"Müller, 1900"
5183,Candona candida,"Müller, 1776"
5184,Candona neglecta,"Sars, 1887"
5185,Candona weltneri,"Hartwig, 1899"
5186,Candonopsis kingsleii,"Brady & Robertson, 1870"
5187,Canephora hirsuta,"Poda, 1761"
5188,Canestrinia dorcicola,"Berlese, 1881"
5189,Canis aureus,"Linnaeus, 1758"
5190,Canis lupus,"Linnaeus, 1758"
5191,Cantharis cryptica,"Ashe, 1947"
5192,Cantharis decipiens,"Baudi, 1872"
5193,Cantharis figurata,"Mannerheim, 1843"
5194,Cantharis flavilabris,"Fallén, 1807"
5195,Cantharis fusca,"Linnaeus, 1758"
5196,Cantharis lateralis,"Linnaeus, 1758"
5197,Cantharis livida,"Linnaeus, 1758"
5198,Cantharis nigra,"De Geer, 1774"
5199,Cantharis nigricans,"Müller, 1776"
5200,Cantharis obscura,"Linnaeus, 1758"
5201,Cantharis pagana,"Rosenhauer, 1847"
5202,Cantharis pallida,"Goeze, 1777"
5203,Cantharis paludosa,"Fallén, 1807"
5204,Cantharis paradoxa,"Hicker, 1960"
5205,Cantharis pellucida,"Fabricius, 1792"
5206,Cantharis pulicaria,"Fabricius, 1781"
5207,Cantharis rufa,"Linnaeus, 1758"
5208,Cantharis rustica,"Fallén, 1807"
5209,Canthocamptus microstaphylinus,"Wolf, 1905"
5210,Canthocamptus staphylinus,"Jurine, 1820"
5211,Canuella furcigera,"Sars, 1904"
5212,Canuella perplexa,"Scott, 1893"
5213,Caparinia tripilis,"Michael, 1889"
5214,Capellia cecidomyiae,"Ratzeburg, 1844"
5215,Capillaria anatis,"Schrank, 1790"
5216,Capillaria brevipes,"Ransom, 1911"
5217,Capillaria bursata,"Freitas & Almeida, 1934"
5218,Capillaria cadovulvata,"Madsen, 1945"
5219,Capillaria nyrocinarum,"Madsen, 1945"
5220,Capillaria phasianina,"Kotlán, 1940"
5221,Capillaria similis,"Kowalewski, 1903"
5222,Capillaria spinulosa,"von Linstow, 1890"
5223,Capillaria strigis,"Frölich, 1802"
5224,Capillaria tenuissima,"Rudolphi, 1803"
5225,Capillaria tridens,"Dujardin, 1845"
5226,Capitella capitata,"Fabricius, 1780"
5227,Capitella minima,"Langerhans, 1881"
5228,Capitophorus carduinus,"Walker, 1850"
5229,Capitophorus elaeagni,"Del Guercio, 1894"
5230,Capitophorus hippophaes,"Walker, 1852"
5231,Capitophorus horni,"Börner, 1931"
5232,Capitophorus inulae,"Passerini, 1860"
5233,Capitophorus pakansus,"Hottes & Frison, 1931"
5234,Capitophorus similis,"Van der Goot, 1915"
5235,Capperia britanniodactylus,"Gregson, 1867"
5236,Caprainea marginata,"Schött, 1893"
5237,Caprella acanthifera,"Leach, 1814"
5238,Caprella equilibra,"Say, 1818"
5239,Caprella linearis,"Linnaeus, 1767"
5240,Caprella mutica,"Schurin, 1935"
5241,Caprella scaura,"Templeton, 1836"
5242,Caprella septentrionalis,"Krøyer, 1838"
5243,Caprella tuberculata,"Bate & Westwood, 1868"
5244,Capreolus capreolus,"Linnaeus, 1758"
5245,Caprimulgus europaeus,"Linnaeus, 1758"
5246,Capros aper,"Linnaeus, 1758"
5247,Capsodes gothicus,"Linnaeus, 1758"
5248,Capsodes sulcatus,"Fieber, 1861"
5249,Capsulata edenensis,"Sandeman, 1959"
5250,Capsus ater,"Linnaeus, 1758"
5251,Capsus pilifer,"Remane, 1950"
5252,Capsus wagneri,"Remane, 1950"
5253,Capua vulgana,"Frölich, 1828"
5254,Carabodes areolatus,"Berlese, 1916"
5255,Carabodes coriaceus,"Koch, 1835"
5256,Carabodes femoralis,"Nicolet, 1855"
5257,Carabodes labyrinthicus,"Michael, 1879"
5258,Carabodes marginatus,"Michael, 1890"
5259,Carabodes ornatus,"Storkan, 1925"
5260,Carabodes rugosior,"Berlese, 1916"
5261,Carabodes tenuis,"Forsslund, 1953"
5262,Carabodes willmanni,"Bernini, 1975"
5263,Carabus arcensis,"Herbst, 1784"
5264,Carabus auratus,"Linnaeus, 1760"
5265,Carabus auronitens,"Fabricius, 1792"
5266,Carabus cancellatus,"Illiger, 1798"
5267,Carabus clatratus,"Linnaeus, 1760"
5268,Carabus convexus,"Fabricius, 1775"
5269,Carabus coriaceus,"Linnaeus, 1758"
5270,Carabus glabratus,"Paykull, 1790"
5271,Carabus granulatus,"Linnaeus, 1758"
5272,Carabus intricatus,"Linnaeus, 1760"
5273,Carabus monilis,"Fabricius, 1792"
5274,Carabus nemoralis,"Müller, 1764"
5275,Carabus nitens,"Linnaeus, 1758"
5276,Carabus problematicus,"Herbst, 1786"
5277,Carabus ulrichii,"Germar, 1824"
5278,Carabus violaceus,"Linnaeus, 1758"
5279,Caradrina clavipalpis,"Scopoli, 1763"
5280,Caradrina gilva,"Donzel, 1837"
5281,Caradrina kadenii,"Freyer, 1836"
5282,Caradrina morpheus,"Hufnagel, 1766"
5283,Caradrina selini,"Boisduval, 1840"
5284,Carassius auratus,"Linnaeus, 1758"
5285,Carassius carassius,"Linnaeus, 1758"
5286,Carassius gibelio,"Bloch, 1783"
5287,Carausius morosus,"De Sinéty, 1901"
5288,Carcelia atricosta,"Herting, 1961"
5289,Carcelia bombylans,"Robineau-Desvoidy, 1830"
5290,Carcelia gnava,"Meigen, 1824"
5291,Carcelia iliaca,"Ratzeburg, 1840"
5292,Carcelia kowarzi,"Villeneuve, 1912"
5293,Carcelia laxifrons,"Villeneuve, 1912"
5294,Carcelia lucorum,"Meigen, 1824"
5295,Carcelia puberula,"Mesnil, 1941"
5296,Carcelia rasa,"Macquart, 1849"
5297,Carcelia rasella,"Baranov, 1931"
5298,Carcelia tibialis,"Robineau-Desvoidy, 1863"
5299,Carcharodiscus banaticus,"Krnjaic & Loof, 1976"
5300,Carcharodiscus dentatus,"Thorne, 1939"
5301,Carcharodus alceae,"Esper, 1780"
5302,Carcina quercana,"Fabricius, 1775"
5303,Carcinonemertes carcinophila,"Kölliker, 1845"
5304,Carcinops pumilio,"Erichson, 1834"
5305,Carcinus maenas,"Linnaeus, 1758"
5306,Cardiastethus fasciiventris,"Garbiglietti, 1869"
5307,Cardinalis cardinalis,"Linnaeus, 1758"
5308,Cardiocephaloides longicollis,"Rudolphi, 1819"
5309,Cardiocladius capucinus,"Zetterstedt, 1850"
5310,Cardiocladius fuscus,"Kieffer, 1924"
5311,Cardiocondyla emeryi,"Forel, 1881"
5312,Cardiocondyla nuda,"Mayr, 1866"
5313,Cardiocondyla obscurior,"Wheeler, 1929"
5314,Cardiocondyla wroughtonii,"Forel, 1890"
5315,Cardiophorus asellus,"Erichson, 1840"
5316,Cardiophorus gramineus,"Scopoli, 1763"
5317,Cardiophorus nigerrimus,"Erichson, 1840"
5318,Cardiophorus ruficollis,"Linnaeus, 1758"
5319,Carduelis carduelis,"Linnaeus, 1758"
5320,Carduiceps cingulatus,"Denny, 1842"
5321,Carduiceps scalaris,"Piaget, 1880"
5322,Carduiceps zonarius,"Nitzsch, 1866"
5323,Carebara diversa,"Jerdon, 1851"
5324,Caretta caretta,"Linnaeus, 1758"
5325,Caricosipha paniculatae,"Börner, 1939"
5326,Carinthilota vechti,"Van Achterberg, 1988"
5327,Carnus hemapterus,"Nitzsch, 1818"
5328,Carorita limnaea,"Crosby & Bishop, 1927"
5329,Carpatolechia aenigma,"Sattler, 1983"
5330,Carpatolechia alburnella,"Zeller, 1839"
5331,Carpatolechia decorella,"Haworth, 1812"
5332,Carpatolechia fugacella,"Zeller, 1839"
5333,Carpatolechia fugitivella,"Zeller, 1839"
5334,Carpatolechia notatella,"Hübner, 1813"
5335,Carpatolechia proximella,"Hübner, 1796"
5336,Carpelimus bilineatus,"Stephens, 1834"
5337,Carpelimus corticinus,"Gravenhorst, 1806"
5338,Carpelimus despectus,"Baudi, 1870"
5339,Carpelimus elongatulus,"Erichson, 1839"
5340,Carpelimus erichsoni,"Sharp, 1871"
5341,Carpelimus foveolatus,"Sahlberg, 1832"
5342,Carpelimus fuliginosus,"Gravenhorst, 1802"
5343,Carpelimus gracilis,"Mannerheim, 1830"
5344,Carpelimus gusarovi,"Gildenkov, 1997"
5345,Carpelimus halophilus,"Kiesenwetter, 1844"
5346,Carpelimus heidenreichi,"Benick, 1934"
5347,Carpelimus impressus,"Lacordaire, 1835"
5348,Carpelimus lindrothi,"Palm, 1943"
5349,Carpelimus manchuricus,"Bernhauer, 1938"
5350,Carpelimus obesus,"Kiesenwetter, 1844"
5351,Carpelimus punctatellus,"Erichson, 1840"
5352,Carpelimus pusillus,"Gravenhorst, 1802"
5353,Carpelimus rivularis,"Motschulsky, 1860"
5354,Carpelimus schneideri,"Ganglbauer, 1895"
5355,Carpelimus similis,"Smetana, 1967"
5356,Carpelimus subtilis,"Erichson, 1839"
5357,Carpelimus zealandicus,"Sharp, 1900"
5358,Carphoborus minimus,"Fabricius, 1798"
5359,Carpocoris fuscispinus,"Boheman, 1850"
5360,Carpocoris purpureipennis,"De Geer, 1773"
5361,Carpodacus sibiricus,"Pallas, 1773"
5362,Carpoglyphus lactis,"Linnaeus, 1767"
5363,Carpophilus dimidiatus,"Fabricius, 1792"
5364,Carpophilus hemipterus,"Linnaeus, 1758"
5365,Carpophilus ligneus,"Murray, 1864"
5366,Carpophilus marginellus,"Motschulsky, 1858"
5367,Carpophilus mutilatus,"Erichson, 1843"
5368,Carpophilus obsoletus,"Erichson, 1843"
5369,Carpophilus sexpustulatus,"Fabricius, 1792"
5370,Carterocephalus palaemon,"Pallas, 1771"
5371,Cartodere bifasciata,"Reitter, 1877"
5372,Cartodere constricta,"Gyllenhal, 1827"
5373,Cartodere nodifer,"Westwood, 1838"
5374,Carulaspis juniperi,"Bouché, 1851"
5375,Carulaspis minima,"Signoret, 1869"
5376,Carulaspis visci,"Schrank, 1781"
5377,Carychium minimum,"Müller, 1774"
5378,Carychium tridentatum,"Risso, 1826"
5379,Caryedon serratus,"Olivier, 1790"
5380,Caryocolum alsinella,"Zeller, 1868"
5381,Caryocolum blandella,"Douglas, 1852"
5382,Caryocolum blandulella,"Tutt, 1887"
5383,Caryocolum cauligenella,"Schmid, 1863"
5384,Caryocolum fischerella,"Treitschke, 1833"
5385,Caryocolum fraternella,"Douglas, 1851"
5386,Caryocolum kroesmanniella,"Herrich-Schäffer, 1854"
5387,Caryocolum marmorea,"Haworth, 1828"
5388,Caryocolum proxima,"Haworth, 1828"
5389,Caryocolum tricolorella,"Haworth, 1812"
5390,Caryophyllaeides fennica,"Schneider, 1902"
5391,Caryophyllaeus laticeps,"Pallas, 1781"
5392,Caryophyllia smithii,"Stokes & Broderip, 1828"
5393,Casinaria ischnogaster,"Thomson, 1887"
5394,Casinaria nigripes,"Gravenhorst, 1829"
5395,Casinaria varians,"Tschek, 1871"
5396,Caspihalacarus hyrcanus,"Viets, 1928"
5397,Caspiobdella fadejewi,"Epshtein, 1961"
5398,Cassagnaudiella pruinosa,"Tullberg, 1871"
5399,Cassida denticollis,"Suffrian, 1844"
5400,Cassida flaveola,"Thunberg, 1794"
5401,Cassida hemisphaerica,"Herbst, 1799"
5402,Cassida margaritacea,"Schaller, 1783"
5403,Cassida murraea,"Linnaeus, 1767"
5404,Cassida nebulosa,"Linnaeus, 1758"
5405,Cassida nobilis,"Linnaeus, 1758"
5406,Cassida prasina,"Illiger, 1798"
5407,Cassida rubiginosa,"Müller, 1776"
5408,Cassida rufovirens,"Suffrian, 1844"
5409,Cassida sanguinolenta,"Müller, 1776"
5410,Cassida sanguinosa,"Suffrian, 1844"
5411,Cassida seladonia,"Gyllenhal, 1827"
5412,Cassida stigmatica,"Suffrian, 1844"
5413,Cassida vibex,"Linnaeus, 1767"
5414,Cassida viridis,"Linnaeus, 1758"
5415,Cassida vittata,"Villers, 1789"
5416,Castor fiber,"Linnaeus, 1758"
5417,Castrada intermedia,"Volz, 1898"
5418,Castrella truncata,"Müller, 1777"
5419,Cataclysme riguata,"Hübner, 1813"
5420,Cataclysta lemnata,"Linnaeus, 1758"
5421,Catagonia aberrans,"Rondani, 1859"
5422,Catapion curtisii,"Stephens, 1831"
5423,Catapion pubescens,"Kirby, 1811"
5424,Catapion seniculus,"Kirby, 1808"
5425,Catarhoe cuculata,"Hufnagel, 1767"
5426,Catarhoe rubidata,"Denis & Schiffermüller, 1775"
5427,Catastenus femoralis,"Förster, 1871"
5428,Catatropis verrucosa,"Froelich, 1789"
5429,Catenotaenia dendritica,"Goeze, 1782"
5430,Catenula confusa,"Nuttycombe, 1956"
5431,Catenula lemnae,"Dugès, 1832"
5432,Catephia alchymista,"Denis & Schiffermüller, 1775"
5433,Cathaemasia hians,"Rudolphi, 1809"
5434,Catharosia albisquama,"Villeneuve, 1932"
5435,Catharosia pygmaea,"Fallén, 1815"
5436,Cathartus quadricollis,"Guérin-Méneville, 1844"
